index,English,Indonesian,ParseTree,Complexity,English_normalized,Indonesian_normalized
173,Tom ran out of gas.,Tom kehabisan bensin.,(S (NP (NNP Tom)) (VP (VBD ran) (PP (IN out) (PP (IN of) (NP (NN gas))))) (. .)),simple,tom ran out of gas .,tom kehabisan bensin .
3708,European currencies weakened against the dollar.,Mata uang Eropa melemah terhadap dolar.,(S (NP (JJ European) (NNS currencies)) (VP (VBD weakened) (PP (IN against) (NP (DT the) (NN dollar)))) (. .)),simple,european currencies weakened against the dollar .,mata uang eropa melemah terhadap dolar .
331,Come over to my place.,Mampir sini ke rumah gue.,(S (VP (VB Come) (ADVP (RB over)) (PP (IN to) (NP (PRP$ my) (NN place)))) (. .)),simple,come over to my place .,mampir sini ke rumah gue .
342,He is above suspicion.,Dia bebas dari kecurigaan.,(S (NP (PRP He)) (VP (VBZ is) (PP (IN above) (NP (NN suspicion)))) (. .)),simple,he is above suspicion .,dia bebas dari kecurigaan .
1743,There is little room for doubt.,Masih ada kemungkinan kalau itu benar.,(S (NP (EX There)) (VP (VBZ is) (NP (NP (JJ little) (NN room)) (PP (IN for) (NP (NN doubt))))) (. .)),simple,there is little room for doubt .,masih ada kemungkinan kalau itu benar .
1088,Tom is itching for a fight.,Tom sudah tidak tahan ingin berkelahi.,(S (NP (NNP Tom)) (VP (VBZ is) (VP (VBG itching) (PP (IN for) (NP (DT a) (NN fight))))) (. .)),simple,tom is itching for a fight .,tom sudah tidak tahan ingin berkelahi .
479,Is Tom still mad at me?,Apakah Tom masih marah padaku?,(SQ (VBZ Is) (NP (NNP Tom)) (ADVP (RB still)) (ADJP (JJ mad) (PP (IN at) (NP (PRP me)))) (. ?)),simple,is tom still mad at me ?,apakah tom masih marah padaku ?
727,I don't know for certain.,Aku tidak tahu pastinya.,(S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (PP (IN for) (ADJP (JJ certain))))) (. .)),simple,i don t know for certain .,aku tidak tahu pastinya .
3821,Jupiter is the largest planet in the Solar System.,Jupiter adalah planet terbesar di Tata Surya.,(S (NP (NNP Jupiter)) (VP (VBZ is) (NP (NP (DT the) (JJS largest) (NN planet)) (PP (IN in) (NP (DT the) (NNP Solar) (NNP System))))) (. .)),simple,jupiter is the largest planet in the solar system .,jupiter adalah planet terbesar di tata surya .
976,You should be proud of me.,Kau harusnya bangga denganku.,(S (NP (PRP You)) (VP (MD should) (VP (VB be) (ADJP (JJ proud) (PP (IN of) (NP (PRP me)))))) (. .)),simple,you should be proud of me .,kau harusnya bangga denganku .
1128,Books are made out of paper.,Buku terbuat dari kertas.,(S (NP (NNS Books)) (VP (VBP are) (VP (VBN made) (PP (IN out) (PP (IN of) (NP (NN paper)))))) (. .)),simple,books are made out of paper .,buku terbuat dari kertas .
1261,We got lost on our way here.,Kita tersesat dalam perjalanan ke sini.,(S (NP (PRP We)) (VP (VBD got) (VP (ADJP (VBN lost)) (PP (IN on) (NP (NP (PRP$ our) (NN way)) (ADVP (RB here)))))) (. .)),simple,we got lost on our way here .,kita tersesat dalam perjalanan ke sini .
3565,"You want to be like everyone else, don't you?","Kau ingin aku menjadi seperti yang lain, bukan?","(SQ (S (NP (PRP You)) (VP (VBP want) (S (VP (TO to) (VP (VB be) (PP (IN like) (NP (NN everyone) (RB else)))))))) (, ,) (VBP do) (RB n't) (NP (PRP you)) (. ?))",simple,you want to be like everyone else don t you ?,kau ingin aku menjadi seperti yang lain bukan ?
2333,He is afraid to fly in an airplane.,Dia takut terbang dengan pesawat.,(S (NP (PRP He)) (VP (VBZ is) (ADJP (JJ afraid) (S (VP (TO to) (VP (VB fly) (PP (IN in) (NP (DT an) (NN airplane)))))))) (. .)),simple,he is afraid to fly in an airplane .,dia takut terbang dengan pesawat .
3424,He was relieved of his heavy responsibility.,Dia telah terbebas dari tanggung jawabnya yang berat.,(S (NP (PRP He)) (VP (VBD was) (VP (VBN relieved) (PP (IN of) (NP (PRP$ his) (JJ heavy) (NN responsibility))))) (. .)),simple,he was relieved of his heavy responsibility .,dia telah terbebas dari tanggung jawabnya yang berat .
2256,There is no easy road to learning.,Tidak ada jalan yang mudah untuk belajar.,(S (NP (EX There)) (VP (VBZ is) (NP (NP (DT no) (JJ easy) (NN road)) (PP (IN to) (NP (NN learning))))) (. .)),simple,there is no easy road to learning .,tidak ada jalan yang mudah untuk belajar .
4176,"We got stuck in a traffic jam, which made us twenty minutes late.","Kami terjebak dalam kemacetan lalu lintas, yang membuat kami terlambat dua puluh menit.","(S (NP (PRP We)) (VP (VBD got) (VP (VP (VBN stuck) (PP (IN in) (NP (DT a) (NN traffic) (NN jam)))) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBD made) (S (NP (PRP us)) (ADJP (NP (CD twenty) (NNS minutes)) (RB late)))))))) (. .))",complex,we got stuck in a traffic jam which made us twenty minutes late .,kami terjebak dalam kemacetan lalu lintas yang membuat kami terlambat dua puluh menit .
1498,I bought it with my own money.,Aku membelinya dengan uangku sendiri.,(S (NP (PRP I)) (VP (VBD bought) (NP (PRP it)) (PP (IN with) (NP (PRP$ my) (JJ own) (NN money)))) (. .)),simple,i bought it with my own money .,aku membelinya dengan uangku sendiri .
1323,Her sister lives in Scotland.,Adiknya tinggal di Skotlandia.,(S (NP (PRP$ Her) (NN sister)) (VP (VBZ lives) (PP (IN in) (NP (NNP Scotland)))) (. .)),simple,her sister lives in scotland .,adiknya tinggal di skotlandia .
3259,She brought me a cup of tea without sugar.,Dia membawakanku secangkir teh tanpa gula.,(S (NP (PRP She)) (VP (VBD brought) (NP (PRP me)) (NP (NP (NP (DT a) (NN cup)) (PP (IN of) (NP (NN tea)))) (PP (IN without) (NP (NN sugar))))) (. .)),simple,she brought me a cup of tea without sugar .,dia membawakanku secangkir teh tanpa gula .
3264,The fireman rushed into the burning house.,Petugas pemadam kebakaran menerobos masuk ke dalam rumah yang sedang terbakar.,(S (NP (DT The) (NN fireman)) (VP (VBD rushed) (PP (IN into) (NP (DT the) (VBG burning) (NN house)))) (. .)),simple,the fireman rushed into the burning house .,petugas pemadam kebakaran menerobos masuk ke dalam rumah yang sedang terbakar .
2534,I'm in love with the girl next door.,Aku jatuh cinta dengan gadis sebelah.,(S (NP (PRP I)) (VP (VBP 'm) (PP (PP (IN in) (NP (NN love))) (PP (IN with) (NP (NP (DT the) (NN girl)) (PP (JJ next) (NP (NN door))))))) (. .)),simple,i m in love with the girl next door .,aku jatuh cinta dengan gadis sebelah .
3022,I think Tom might leave on October 20th.,Menurutku Tom mungkin akan pergi pada 20 Oktober.,(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NNP Tom)) (VP (MD might) (VP (VB leave) (PP (IN on) (NP (NNP October) (NNP 20th)))))))) (. .)),complex,i think tom might leave on october th .,menurutku tom mungkin akan pergi pada oktober .
2903,How many times have you been to Boston?,Sudah berapa kali kamu ke Boston?,(SBARQ (WHNP (WHADJP (WRB How) (JJ many)) (NNS times)) (SQ (VBP have) (NP (PRP you)) (VP (VBN been) (PP (IN to) (NP (NNP Boston))))) (. ?)),simple,how many times have you been to boston ?,sudah berapa kali kamu ke boston ?
2097,This is one of my favorite books.,Ini salah satu buku kesukaanku.,(S (NP (DT This)) (VP (VBZ is) (NP (NP (CD one)) (PP (IN of) (NP (PRP$ my) (JJ favorite) (NNS books))))) (. .)),simple,this is one of my favorite books .,ini salah satu buku kesukaanku .
67,I agree with you.,Aku setuju denganmu.,(S (NP (PRP I)) (VP (VBP agree) (PP (IN with) (NP (PRP you)))) (. .)),simple,i agree with you .,aku setuju denganmu .
1231,Tom is at his uncle's place.,Tom ada di rumah pamannya.,(S (NP (NNP Tom)) (VP (VBZ is) (PP (IN at) (NP (NP (PRP$ his) (NN uncle) (POS 's)) (NN place)))) (. .)),simple,tom is at his uncle s place .,tom ada di rumah pamannya .
221,This is all for Tom.,Ini semua untuk Tom.,(S (NP (DT This)) (VP (VBZ is) (PP (DT all) (PP (IN for) (NP (NNP Tom))))) (. .)),simple,this is all for tom .,ini semua untuk tom .
3873,The trouble with him is that he is seldom punctual.,Masalahnya adalah dia jarang tepat waktu.,(S (NP (NP (DT The) (NN trouble)) (PP (IN with) (NP (PRP him)))) (VP (VBZ is) (SBAR (IN that) (S (NP (PRP he)) (VP (VBZ is) (ADVP (RB seldom)) (ADJP (JJ punctual)))))) (. .)),complex,the trouble with him is that he is seldom punctual .,masalahnya adalah dia jarang tepat waktu .
3515,He's always looking at you. He must love you.,Dia selalu melihatmu. Dia pasti jatuh cinta kepadamu.,(S (NP (PRP He)) (VP (VBZ 's) (ADVP (RB always)) (VP (VBG looking) (PP (IN at) (NP (PRP you))))) (. .)),simple,he s always looking at you . he must love you .,dia selalu melihatmu . dia pasti jatuh cinta kepadamu .
3126,His health is improving little by little.,Kesehatannya membaik sedikit demi sedikit.,(S (NP (PRP$ His) (NN health)) (VP (VBZ is) (VP (VBG improving) (ADVP (ADVP (RB little)) (PP (IN by) (NP (JJ little)))))) (. .)),simple,his health is improving little by little .,kesehatannya membaik sedikit demi sedikit .
88,Come sing with me.,Ikutlah menyanyi denganku.,(S (VP (VB Come) (VP (VB sing) (PP (IN with) (NP (PRP me))))) (. .)),simple,come sing with me .,ikutlah menyanyi denganku .
3883,Tom has lots of acquaintances but very few friends.,Tom kenalannya banyak tapi temannya sedikit.,(S (NP (NNP Tom)) (VP (VBZ has) (NP (NP (NP (NNS lots)) (PP (IN of) (NP (NNS acquaintances)))) (CC but) (NP (ADJP (RB very) (JJ few)) (NNS friends)))) (. .)),simple,tom has lots of acquaintances but very few friends .,tom kenalannya banyak tapi temannya sedikit .
3399,Tom made good use of the money we lent him.,Tom menggunakan uang pinjaman kita dengan baik.,(S (NP (NNP Tom)) (VP (VBD made) (NP (NP (JJ good) (NN use)) (PP (IN of) (NP (NP (DT the) (NN money)) (SBAR (S (NP (PRP we)) (VP (VBD lent) (NP (PRP him))))))))) (. .)),complex,tom made good use of the money we lent him .,tom menggunakan uang pinjaman kita dengan baik .
3206,Tom recommended that I apply for the job.,Tom merekomendasikan saya untuk melamar pekerjaan.,(S (NP (NNP Tom)) (VP (VBD recommended) (SBAR (IN that) (S (NP (PRP I)) (VP (VB apply) (PP (IN for) (NP (DT the) (NN job))))))) (. .)),complex,tom recommended that i apply for the job .,tom merekomendasikan saya untuk melamar pekerjaan .
2453,Tom should've arrived by this time.,Tom seharusnya sudah sampai sekarang.,(S (NP (NNP Tom)) (VP (MD should) (VP (VB 've) (VP (VBN arrived) (PP (IN by) (NP (DT this) (NN time)))))) (. .)),simple,tom should ve arrived by this time .,tom seharusnya sudah sampai sekarang .
2023,How many people are in this room?,Ada berapa banyak orang dalam kamar ini?,(SBARQ (WHNP (WHADJP (WRB How) (JJ many)) (NNS people)) (SQ (VBP are) (PP (IN in) (NP (DT this) (NN room)))) (. ?)),simple,how many people are in this room ?,ada berapa banyak orang dalam kamar ini ?
2118,Tom sat cross-legged in the dark.,Tom duduk bersila di kegelapan.,(S (NP (NNP Tom)) (VP (VBD sat) (S (ADJP (RB cross) (HYPH -) (VBN legged))) (PP (IN in) (NP (DT the) (NN dark)))) (. .)),simple,tom sat cross legged in the dark .,tom duduk bersila di kegelapan .
3532,Not very many of us know how to speak French.,Tidak banyak dari kita yang tahu bagaimana berbahasa Perancis,(S (NP (NP (ADJP (RB Not) (RB very) (JJ many))) (PP (IN of) (NP (PRP us)))) (VP (VBP know) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB speak) (NP (NNP French))))))) (. .)),complex,not very many of us know how to speak french .,tidak banyak dari kita yang tahu bagaimana berbahasa perancis
3751,Tom tried to make amends and apologized to Mary.,Tom berusaha menebus kesalahannya dan meminta maaf kepada Mary.,(S (NP (NNP Tom)) (VP (VP (VBD tried) (S (VP (TO to) (VP (VB make) (NP (NNS amends)))))) (CC and) (VP (VBD apologized) (PP (IN to) (NP (NNP Mary))))) (. .)),simple,tom tried to make amends and apologized to mary .,tom berusaha menebus kesalahannya dan meminta maaf kepada mary .
2484,Did you catch any fish in the river?,Apa kamu berhasil menangkap ikan di sungai?,(SQ (VBD Did) (NP (PRP you)) (VP (VB catch) (NP (DT any) (NN fish)) (PP (IN in) (NP (DT the) (NN river)))) (. ?)),simple,did you catch any fish in the river ?,apa kamu berhasil menangkap ikan di sungai ?
1775,Tom prepared supper by himself.,Tom menyiapkan makan malan sendiri.,(S (NP (NNP Tom)) (VP (VBD prepared) (NP (NN supper)) (PP (IN by) (NP (PRP himself)))) (. .)),simple,tom prepared supper by himself .,tom menyiapkan makan malan sendiri .
4074,"If you turn here, you can probably avoid a lot of traffic.","Kalau kamu belok ke sini, mungkin kamu bisa terhindar dari kemacetan.","(S (SBAR (IN If) (S (NP (PRP you)) (VP (VBP turn) (ADVP (RB here))))) (, ,) (NP (PRP you)) (VP (MD can) (ADVP (RB probably)) (VP (VB avoid) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN traffic)))))) (. .))",complex,if you turn here you can probably avoid a lot of traffic .,kalau kamu belok ke sini mungkin kamu bisa terhindar dari kemacetan .
3454,Mary is a girl who is pleasant to talk with.,Mary adalah gadis yang enak diajak bicara.,(S (NP (NNP Mary)) (VP (VBZ is) (NP (NP (DT a) (NN girl)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (ADJP (JJ pleasant) (SBAR (S (VP (TO to) (VP (VB talk) (PP (IN with)))))))))))) (. .)),complex,mary is a girl who is pleasant to talk with .,mary adalah gadis yang enak diajak bicara .
2174,He measured the length of the bed.,Dia mengukur panjang tempat tidur itu.,(S (NP (PRP He)) (VP (VBD measured) (NP (NP (DT the) (NN length)) (PP (IN of) (NP (DT the) (NN bed))))) (. .)),simple,he measured the length of the bed .,dia mengukur panjang tempat tidur itu .
2281,Tom made an excuse for being late.,Tom membuat alasan atas keterlambatannya.,(S (NP (NNP Tom)) (VP (VBD made) (NP (NP (DT an) (NN excuse)) (PP (IN for) (S (VP (VBG being) (ADJP (JJ late))))))) (. .)),simple,tom made an excuse for being late .,tom membuat alasan atas keterlambatannya .
3209,Tom wanted Mary to go to Boston with him.,Tom ingin Mary pergi ke Boston bersamanya.,(S (NP (NNP Tom)) (VP (VBD wanted) (S (NP (NNP Mary)) (VP (TO to) (VP (VB go) (PP (IN to) (NP (NNP Boston))) (PP (IN with) (NP (PRP him))))))) (. .)),simple,tom wanted mary to go to boston with him .,tom ingin mary pergi ke boston bersamanya .
1988,You have nothing to worry about.,Tidak ada yang perlu dikhawatirkan.,(S (NP (PRP You)) (VP (VBP have) (NP (NP (NN nothing)) (SBAR (S (VP (TO to) (VP (VB worry) (PP (IN about)))))))) (. .)),complex,you have nothing to worry about .,tidak ada yang perlu dikhawatirkan .
1096,Tom rushed into the office.,Tom bergegas menuju kantor.,(S (NP (NNP Tom)) (VP (VBD rushed) (PP (IN into) (NP (DT the) (NN office)))) (. .)),simple,tom rushed into the office .,tom bergegas menuju kantor .
3361,"Once upon a time, there lived a cruel king.","Pada zaman dahulu, hiduplah seorang raja yang kejam.","(S (PP (ADVP (RB Once)) (PP (IN upon) (NP (DT a) (NN time)))) (, ,) (NP (EX there)) (VP (VBD lived) (NP (DT a) (JJ cruel) (NN king))) (. .))",simple,once upon a time there lived a cruel king .,pada zaman dahulu hiduplah seorang raja yang kejam .
3834,Tom has to meet Mary in the park tomorrow at 2:30.,Tom harus bertemu Mary besok di taman pada pukul 2:30.,(S (NP (NNP Tom)) (VP (VBZ has) (S (VP (TO to) (VP (VB meet) (NP (NNP Mary)) (PP (IN in) (NP (DT the) (NN park))) (NP (NN tomorrow)) (PP (IN at) (NP (CD 2:30))))))) (. .)),simple,tom has to meet mary in the park tomorrow at .,tom harus bertemu mary besok di taman pada pukul .
2298,We know Tom was born in Australia.,Kita tahu bahwa Tom lahir di Australia.,(S (NP (PRP We)) (VP (VBP know) (SBAR (S (NP (NNP Tom)) (VP (VBD was) (VP (VBN born) (PP (IN in) (NP (NNP Australia)))))))) (. .)),complex,we know tom was born in australia .,kita tahu bahwa tom lahir di australia .
283,It is in the kitchen.,Itu ada di dapur.,(S (NP (PRP It)) (VP (VBZ is) (PP (IN in) (NP (DT the) (NN kitchen)))) (. .)),simple,it is in the kitchen .,itu ada di dapur .
3102,A lot of birthday cards will arrive soon.,Bayak kartu ulang tahun yang akan segera datang.,(S (NP (NP (DT A) (NN lot)) (PP (IN of) (NP (NN birthday) (NNS cards)))) (VP (MD will) (VP (VB arrive) (ADVP (RB soon)))) (. .)),simple,a lot of birthday cards will arrive soon .,bayak kartu ulang tahun yang akan segera datang .
2953,There is no use crying over spilt milk.,Nasi sudah menjadi bubur.,(S (NP (EX There)) (VP (VBZ is) (NP (NP (DT no) (NN use)) (S (VP (VBG crying) (PP (IN over) (NP (JJ spilt) (NN milk))))))) (. .)),simple,there is no use crying over spilt milk .,nasi sudah menjadi bubur .
1876,I'm going over to Tom's tonight.,Aku akan pergi ke rumah Tom malam ini.,(S (NP (PRP I)) (VP (VBP 'm) (VP (VBG going) (ADVP (ADVP (RB over)) (PP (IN to) (NP (NNP Tom) (POS 's)))) (NP (NN tonight)))) (. .)),simple,i m going over to tom s tonight .,aku akan pergi ke rumah tom malam ini .
1626,What kind of mushroom is this?,Ini jamur apa?,(SBARQ (WHNP (WHNP (WP What) (NN kind)) (PP (IN of) (NP (NN mushroom)))) (SQ (VBZ is) (NP (DT this))) (. ?)),simple,what kind of mushroom is this ?,ini jamur apa ?
613,Please say hello to her.,Tolong sampaikan salamku kepadanya.,(S (VB Please) (VP (VB say) (NP (UH hello)) (PP (IN to) (NP (PRP her)))) (. .)),simple,please say hello to her .,tolong sampaikan salamku kepadanya .
2805,Neither Tom nor Mary has one of those.,Tom maupun Mary tidak memiliki itu.,(S (NP (CC Neither) (NNP Tom) (CC nor) (NNP Mary)) (VP (VBZ has) (NP (NP (CD one)) (PP (IN of) (NP (DT those))))) (. .)),simple,neither tom nor mary has one of those .,tom maupun mary tidak memiliki itu .
1861,I met up with her on the street.,Aku bertemu dengannya di jalan.,(S (NP (PRP I)) (VP (VBD met) (PRT (RP up)) (PP (IN with) (NP (PRP her))) (PP (IN on) (NP (DT the) (NN street)))) (. .)),simple,i met up with her on the street .,aku bertemu dengannya di jalan .
1752,They've helped a lot of people.,Mereka telah membantu banyak orang.,(S (NP (PRP They)) (VP (VBP 've) (VP (VBN helped) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS people)))))) (. .)),simple,they ve helped a lot of people .,mereka telah membantu banyak orang .
423,What a waste of money!,Buang-buang duit aja!,(FRAG (WP What) (DT a) (NN waste) (PP (IN of) (NP (NN money))) (. !)),simple,what a waste of money !,buang buang duit aja !
3382,There are many tall buildings in that town.,Ada banyak gedung tinggi di kota itu.,(S (NP (EX There)) (VP (VBP are) (NP (JJ many) (JJ tall) (NNS buildings)) (PP (IN in) (NP (DT that) (NN town)))) (. .)),simple,there are many tall buildings in that town .,ada banyak gedung tinggi di kota itu .
1412,There's no grass on the moon.,Tidak ada rumput di bulan.,(S (NP (EX There)) (VP (VBZ 's) (NP (DT no) (NN grass)) (PP (IN on) (NP (DT the) (NN moon)))) (. .)),simple,there s no grass on the moon .,tidak ada rumput di bulan .
3809,He cleansed the wound before putting on a bandage.,Dia membersihkan lukanya sebelum membalutnya.,(S (NP (PRP He)) (VP (VBD cleansed) (NP (DT the) (NN wound)) (PP (IN before) (S (VP (VBG putting) (PRT (RP on)) (NP (DT a) (NN bandage)))))) (. .)),simple,he cleansed the wound before putting on a bandage .,dia membersihkan lukanya sebelum membalutnya .
839,Add more salt to the soup.,Tambahkan lebih garam ke dalam sopnya.,(S (VP (VB Add) (NP (JJR more) (NN salt)) (PP (IN to) (NP (DT the) (NN soup)))) (. .)),simple,add more salt to the soup .,tambahkan lebih garam ke dalam sopnya .
500,Thanks for the comment.,Terima kasih untuk komentarnya.,(NP (NP (NNS Thanks)) (PP (IN for) (NP (DT the) (NN comment))) (. .)),simple,thanks for the comment .,terima kasih untuk komentarnya .
1438,Tom was bitten by a mosquito.,Tom digigit nyamuk.,(S (NP (NNP Tom)) (VP (VBD was) (VP (VBN bitten) (PP (IN by) (NP (DT a) (NN mosquito))))) (. .)),simple,tom was bitten by a mosquito .,tom digigit nyamuk .
1398,Thanks for your quick answer.,Terima kasih telah menjawabnya dengan cepat.,(NP (NNS Thanks) (PP (IN for) (NP (PRP$ your) (JJ quick) (NN answer))) (. .)),simple,thanks for your quick answer .,terima kasih telah menjawabnya dengan cepat .
549,Did you know about this?,Apakah Anda mengetahui hal ini?,(SQ (VBD Did) (NP (PRP you)) (VP (VB know) (PP (IN about) (NP (DT this)))) (. ?)),simple,did you know about this ?,apakah anda mengetahui hal ini ?
557,Don't play in this room.,Jangan bermain di kamar ini.,(S (VP (VBP Do) (RB n't) (VP (VB play) (PP (IN in) (NP (DT this) (NN room))))) (. .)),simple,don t play in this room .,jangan bermain di kamar ini .
1657,He put his bag under the table.,Dia meletakkan tasnya di bawah meja.,(S (NP (PRP He)) (VP (VBD put) (NP (PRP$ his) (NN bag)) (PP (IN under) (NP (DT the) (NN table)))) (. .)),simple,he put his bag under the table .,dia meletakkan tasnya di bawah meja .
3692,Tom said that he sees Mary at school every day.,Tom berkata bahwa dia melihat Mary di sekolah setiap hari.,(S (NP (NNP Tom)) (VP (VBD said) (SBAR (IN that) (S (NP (PRP he)) (VP (VBZ sees) (NP (NNP Mary)) (PP (IN at) (NP (NN school))) (NP (DT every) (NN day)))))) (. .)),complex,tom said that he sees mary at school every day .,tom berkata bahwa dia melihat mary di sekolah setiap hari .
218,Math is hard for me.,Matematika sulit bagi saya.,(S (NP (NN Math)) (VP (VBZ is) (ADJP (JJ hard)) (PP (IN for) (NP (PRP me)))) (. .)),simple,math is hard for me .,matematika sulit bagi saya .
2279,Tom just looked down at the floor.,Tom hanya melihat ke arah lantai.,(S (NP (NNP Tom)) (ADVP (RB just)) (VP (VBD looked) (ADVP (RB down)) (PP (IN at) (NP (DT the) (NN floor)))) (. .)),simple,tom just looked down at the floor .,tom hanya melihat ke arah lantai .
1138,Don't be noisy in this room.,Jangan ribut di ruangan ini.,(S (VP (VBP Do) (RB n't) (VP (VB be) (ADJP (JJ noisy)) (PP (IN in) (NP (DT this) (NN room))))) (. .)),simple,don t be noisy in this room .,jangan ribut di ruangan ini .
209,I'm grateful to you.,Aku berterima kasih padamu.,(S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ grateful) (PP (IN to) (NP (PRP you))))) (. .)),simple,i m grateful to you .,aku berterima kasih padamu .
2267,Tom and Mary are in the cafeteria.,Tom dan Mary ada di kantin.,(S (NP (NNP Tom) (CC and) (NNP Mary)) (VP (VBP are) (PP (IN in) (NP (DT the) (NN cafeteria)))) (. .)),simple,tom and mary are in the cafeteria .,tom dan mary ada di kantin .
3311,Didn't you notice us going out of the room?,Kamu tidak menyadari kami keluar dari kamar?,(SQ (VBD Did) (RB n't) (NP (PRP you)) (VP (VB notice) (S (NP (PRP us)) (VP (VBG going) (PP (IN out) (PP (IN of) (NP (DT the) (NN room))))))) (. ?)),simple,didn t you notice us going out of the room ?,kamu tidak menyadari kami keluar dari kamar ?
3832,"Those grapes look sweet, but in fact they're sour.","Buah anggur itu terlihat manis, tetapi sebenarnya asam.","(S (S (NP (DT Those) (NNS grapes)) (VP (VBP look) (ADJP (JJ sweet)))) (, ,) (CC but) (S (PP (IN in) (NP (NN fact))) (NP (PRP they)) (VP (VBP 're) (ADJP (JJ sour)))) (. .))",compound,those grapes look sweet but in fact they re sour .,buah anggur itu terlihat manis tetapi sebenarnya asam .
2011,Do these paintings appeal to you?,Apa kau suka lukisan-lukisan ini?,(SQ (VBP Do) (NP (DT these) (NNS paintings)) (VP (VB appeal) (PP (IN to) (NP (PRP you)))) (. ?)),simple,do these paintings appeal to you ?,apa kau suka lukisan lukisan ini ?
948,Tom never arrives on time.,Tom tidak pernah datang tepat waktu.,(S (NP (NNP Tom)) (ADVP (RB never)) (VP (VBZ arrives) (PP (IN on) (NP (NN time)))) (. .)),simple,tom never arrives on time .,tom tidak pernah datang tepat waktu .
3130,I can't remember the melody of that song.,Saya tidak bisa mengingat melodi lagu itu.,(S (NP (PRP I)) (VP (MD ca) (RB n't) (VP (VB remember) (NP (NP (DT the) (NN melody)) (PP (IN of) (NP (DT that) (NN song)))))) (. .)),simple,i can t remember the melody of that song .,saya tidak bisa mengingat melodi lagu itu .
532,We made a lot of money.,Kita menghasilkan banyak uang.,(S (NP (PRP We)) (VP (VBD made) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN money))))) (. .)),simple,we made a lot of money .,kita menghasilkan banyak uang .
2483,Black smoke came out of the chimney.,Asap hitam keluar dari cerobong asap itu.,(S (NP (JJ Black) (NN smoke)) (VP (VBD came) (PP (IN out) (PP (IN of) (NP (DT the) (NN chimney))))) (. .)),simple,black smoke came out of the chimney .,asap hitam keluar dari cerobong asap itu .
3334,I met my teacher on the way to the station.,Saya bertemu dengan guru saya dalam perjalanan ke stasiun.,(S (NP (PRP I)) (VP (VBD met) (NP (PRP$ my) (NN teacher)) (PP (IN on) (NP (NP (DT the) (NN way)) (PP (IN to) (NP (DT the) (NN station)))))) (. .)),simple,i met my teacher on the way to the station .,saya bertemu dengan guru saya dalam perjalanan ke stasiun .
4070,"From the hill, we could see all the buildings in the city.","Dari bukit itu, kita bisa melihat semua bangunan di kota itu.","(S (PP (IN From) (NP (DT the) (NN hill))) (, ,) (NP (PRP we)) (VP (MD could) (VP (VB see) (NP (NP (PDT all) (DT the) (NNS buildings)) (PP (IN in) (NP (DT the) (NN city)))))) (. .))",simple,from the hill we could see all the buildings in the city .,dari bukit itu kita bisa melihat semua bangunan di kota itu .
3367,She looked very beautiful in her new dress.,Dia terlihat sangat cantik memakai gaun barunya.,(S (NP (PRP She)) (VP (VBD looked) (ADJP (RB very) (JJ beautiful)) (PP (IN in) (NP (PRP$ her) (JJ new) (NN dress)))) (. .)),simple,she looked very beautiful in her new dress .,dia terlihat sangat cantik memakai gaun barunya .
4064,Tom wasn't allowed to visit his father who was in prison.,Tom tidak diperbolehkan mengunjungi ayahnya yang ada di penjara.,(S (NP (NNP Tom)) (VP (VBD was) (RB n't) (VP (VBN allowed) (S (VP (TO to) (VP (VB visit) (NP (NP (PRP$ his) (NN father)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (PP (IN in) (NP (NN prison)))))))))))) (. .)),complex,tom wasn t allowed to visit his father who was in prison .,tom tidak diperbolehkan mengunjungi ayahnya yang ada di penjara .
4152,How do you think I can convince her to spend more time with me?,Bagaimana menurutmu cara agar aku bisa membujuknya menghabiskan lebih banyak waktu bersamaku?,(SBARQ (WHADVP (WRB How)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (SBAR (S (NP (PRP I)) (VP (MD can) (VP (VB convince) (NP (PRP her)) (S (VP (TO to) (VP (VB spend) (NP (JJR more) (NN time)) (PP (IN with) (NP (PRP me)))))))))))) (. ?)),complex,how do you think i can convince her to spend more time with me ?,bagaimana menurutmu cara agar aku bisa membujuknya menghabiskan lebih banyak waktu bersamaku ?
3563,Write your name and address on this envelope.,Tuliskan nama dan alamat anda pada amplop ini.,(S (VP (VB Write) (NP (PRP$ your) (NN name) (CC and) (NN address)) (PP (IN on) (NP (DT this) (NN envelope)))) (. .)),simple,write your name and address on this envelope .,tuliskan nama dan alamat anda pada amplop ini .
0,Go to bed.,Pergilah tidur.,(S (VP (VB Go) (PP (IN to) (NP (NN bed)))) (. .)),simple,go to bed .,pergilah tidur .
